Country	Track	Layout	Year	Grade	Length (KM)	Altitude (Meter)	Number of turns	DLC	Default date
Australia	Adelaide	Adelaide Historic 1988	1988	Historic	3.780	52	16		1988-11-13
Australia	Adelaide	Adelaide	2020	Grade 3	3.219	52	14		2020-03-05
Australia	Adelaide	Adelaide STT	2020	Grade 3	3.219	52	14	Adrenaline 2	2020-03-05
Brazil	Ascurra	Ascurra Dirt	2022	Off-road	0.910	88	8	Adrenaline 1	2022-09-28
Brazil	Ascurra	Ascurra RX	2023	Off-road	0.910	88	8	Adrenaline 1	2023-09-28
Monaco	Azure Circuit (Monaco)	Azure Circuit	2021	Grade 1	3.337	1.57	19		2021-05-23
Spain	Barcelona	Barcelona 1991	1991	Historic	4.747	115	14	Historical Tracks 1	1991-09-29
Spain	Barcelona	Circuit de Barcelona-Catalunya GP	2022	Grade 1	4.675	115	16	Barcelona Pack	2022-05-22
Spain	Barcelona	Circuit de Barcelona-Catalunya GP (No Chicane)	2022	Grade 1	4.657	115	14	Barcelona Pack	2022-05-22
Spain	Barcelona	Circuit de Barcelona-Catalunya National	2022	Grade 1	2.997	115	9	Barcelona Pack	2022-05-22
Spain	Barcelona	Circuit de Barcelona-Catalunya RX	2022	Off-road	1.125	115	9	Adrenaline 1	2022-10-30
Australia	Bathurst	Bathurst 1983	1983	Historic	6.171	780	20	Historical Tracks 1	1983-02-01
Australia	Bathurst	Bathurst 2020	2020	Grade 3	6.213	780	23		2020-02-01
England	Brands Hatch	Brands Hatch GP	2020	Grade 2	3.916	177.57	10		2020-06-11
England	Brands Hatch	Brands Hatch Indy	2020	Ungraded/Alternate	1.944	177.57	5		2020-06-11
Brazil	Brasilia	Brasilia Full	2014	Ungraded/Alternate	5.476	1172	12		2014-06-02
Brazil	Brasilia	Brasilia Outer	2014	Ungraded/Alternate	2.913	1172	5		2014-06-02
Argentina	Buenos Aires	Buenos Aires Circuito No.12	2020	Grade 1	5.651	10	8		2020-02-20
Argentina	Buenos Aires	Buenos Aires Circuito No.15	2020	Grade 1	5.948	10	15		2020-02-20
Argentina	Buenos Aires	Buenos Aires Circuito No.6	2020	Grade 1	4.312	10	17		2020-02-20
